date,positive,negative,neutral,compound
2018-06-30,0.09,0.02,0.88,0.88
2018-07-01,,,,
2018-07-02,,,,
2018-07-03,0.09,0.06,0.85,0.82
2018-07-04,,,,
2018-07-05,0.08,0.0,0.92,0.98
2018-07-06,0.07,0.02,0.91,0.53
2018-07-07,0.09,0.01,0.89,0.97
2018-07-08,,,,
2018-07-09,,,,
2018-07-10,0.07,0.04,0.89,0.12
2018-07-11,0.06,0.08,0.85,-0.9
2018-07-12,0.06,0.04,0.9,0.86
2018-07-13,0.08,0.03,0.89,0.58
2018-07-14,0.05,0.01,0.94,0.92
2018-07-15,,,,
2018-07-16,,,,
2018-07-17,0.09,0.03,0.88,0.99
2018-07-18,0.11,0.02,0.87,0.98
2018-07-19,0.06,0.02,0.92,0.9
2018-07-20,0.09,0.06,0.85,0.82
2018-07-21,0.04,0.0,0.96,0.8
2018-07-22,,,,
2018-07-23,,,,
2018-07-24,0.11,0.01,0.88,0.98
2018-07-25,0.06,0.04,0.9,0.88
2018-07-26,,,,
2018-07-27,0.11,0.02,0.87,0.98
2018-07-28,,,,
2018-07-29,0.08,0.04,0.89,0.07
2018-07-30,0.09,0.01,0.9,0.97
2018-07-31,0.09,0.03,0.88,0.66
2018-08-01,,,,
2018-08-02,,,,
2018-08-03,,,,
2018-08-04,,,,
2018-08-05,,,,
2018-08-06,,,,
2018-08-07,,,,
2018-08-08,,,,
2018-08-09,,,,
2018-08-10,0.17,0.0,0.83,1.0
2018-08-11,,,,
2018-08-12,,,,
2018-08-13,,,,
2018-08-14,0.05,0.04,0.91,0.21
2018-08-15,0.07,0.02,0.9,0.42
2018-08-16,0.09,0.06,0.85,0.91
2018-08-17,0.09,0.0,0.91,0.92
2018-08-18,0.06,0.06,0.88,-0.2
2018-08-19,0.08,0.0,0.91,0.98
2018-08-20,0.09,0.02,0.89,0.99
2018-08-21,0.09,0.02,0.89,0.93
2018-08-22,0.05,0.02,0.93,0.68
2018-08-23,0.06,0.02,0.92,0.34
2018-08-24,0.08,0.03,0.89,0.99
2018-08-25,,,,
2018-08-26,0.06,0.04,0.9,0.91
2018-08-27,0.08,0.02,0.9,0.97
2018-08-28,,,,
2018-08-29,0.11,0.02,0.87,0.98
2018-08-30,0.06,0.08,0.85,-0.9
2018-08-31,0.05,0.01,0.94,0.85
2018-09-01,,,,
2018-09-02,,,,
2018-09-03,0.03,0.02,0.95,0.4
2018-09-04,,,,
2018-09-05,,,,
2018-09-06,,,,
2018-09-07,0.07,0.02,0.91,0.26
2018-09-08,,,,
2018-09-09,0.01,0.05,0.94,-0.63
2018-09-10,0.07,0.0,0.93,0.86
2018-09-11,0.12,0.02,0.86,0.99
2018-09-12,0.1,0.02,0.88,0.96
2018-09-13,,,,
2018-09-14,0.07,0.04,0.89,0.93
2018-09-15,,,,
2018-09-16,0.09,0.01,0.9,0.95
2018-09-17,0.08,0.02,0.9,0.97
2018-09-18,0.07,0.03,0.9,0.95
2018-09-19,,,,
2018-09-20,,,,
2018-09-21,0.08,0.02,0.9,0.94
2018-09-22,0.13,0.0,0.86,0.99
2018-09-23,,,,
2018-09-24,0.04,0.02,0.94,0.75
2018-09-25,0.08,0.03,0.9,0.5
2018-09-26,0.09,0.04,0.88,0.05
2018-09-27,0.06,0.01,0.93,0.94
2018-09-28,0.12,0.06,0.82,0.99
2018-09-29,,,,
2018-09-30,,,,
2018-10-01,,,,
2018-10-02,,,,
2018-10-03,,,,
2018-10-04,,,,
2018-10-05,0.07,0.09,0.84,-0.99
2018-10-06,0.09,0.01,0.9,0.99
2018-10-07,0.1,0.02,0.88,0.97
2018-10-08,0.06,0.04,0.9,0.91
2018-10-09,0.07,0.05,0.88,0.69
2018-10-10,0.1,0.02,0.88,0.99
2018-10-11,,,,
2018-10-12,0.08,0.02,0.9,0.97
2018-10-13,,,,
2018-10-14,,,,
2018-10-15,0.08,0.01,0.91,0.96
2018-10-16,0.09,0.02,0.89,0.65
2018-10-17,0.1,0.02,0.88,0.91
2018-10-18,0.08,0.02,0.9,0.83
2018-10-19,0.07,0.04,0.89,0.52
2018-10-20,,,,
2018-10-21,0.1,0.03,0.87,0.97
2018-10-22,0.11,0.02,0.88,0.99
2018-10-23,0.05,0.02,0.92,0.87
2018-10-24,0.13,0.0,0.87,0.99
2018-10-25,0.1,0.02,0.88,0.94
2018-10-26,0.08,0.05,0.87,0.92
2018-10-27,,,,
2018-10-28,,,,
2018-10-29,0.08,0.04,0.88,0.26
2018-10-30,0.13,0.02,0.86,1.0
2018-10-31,0.08,0.01,0.91,0.97
2018-11-01,0.12,0.06,0.82,0.99
2018-11-02,0.09,0.02,0.9,0.99
2018-11-03,0.06,0.03,0.91,0.76
2018-11-04,0.06,0.02,0.92,0.88
2018-11-05,,,,
2018-11-06,,,,
2018-11-07,0.08,0.03,0.89,0.5
2018-11-08,0.05,0.0,0.95,0.96
2018-11-09,0.08,0.02,0.9,0.66
2018-11-10,,,,
2018-11-11,0.08,0.0,0.92,0.97
2018-11-12,0.06,0.06,0.87,-0.01
2018-11-13,,,,
2018-11-14,,,,
2018-11-15,,,,
2018-11-16,0.07,0.01,0.91,0.96
2018-11-17,,,,
2018-11-18,0.07,0.01,0.92,0.89
2018-11-19,0.07,0.04,0.88,0.85
2018-11-20,0.1,0.04,0.86,0.95
2018-11-21,0.04,0.03,0.93,0.67
2018-11-22,,,,
2018-11-23,0.1,0.04,0.86,0.92
2018-11-24,,,,
2018-11-25,0.11,0.0,0.89,0.99
2018-11-26,,,,
2018-11-27,0.01,0.04,0.95,-0.88
2018-11-28,0.09,0.02,0.9,0.97
2018-11-29,0.04,0.03,0.93,0.67
2018-11-30,,,,
2018-12-01,0.11,0.04,0.86,0.99
2018-12-02,,,,
2018-12-03,,,,
2018-12-04,0.1,0.02,0.88,0.95
2018-12-05,,,,
2018-12-06,0.09,0.02,0.89,0.99
2018-12-07,0.1,0.02,0.89,0.98
2018-12-08,0.1,0.03,0.87,0.98
2018-12-09,0.01,0.05,0.94,-0.63
2018-12-10,0.1,0.01,0.89,0.99
2018-12-11,0.07,0.01,0.92,0.97
2018-12-12,0.08,0.02,0.9,0.77
2018-12-13,0.09,0.02,0.89,0.96
2018-12-14,0.06,0.04,0.9,0.13
2018-12-15,,,,
2018-12-16,,,,
2018-12-17,0.08,0.03,0.89,0.96
2018-12-18,0.08,0.03,0.9,0.92
2018-12-19,0.05,0.01,0.94,0.9
2018-12-20,0.1,0.02,0.88,0.67
2018-12-21,,,,
2018-12-22,0.09,0.02,0.89,0.77
2018-12-23,,,,
2018-12-24,,,,
2018-12-25,,,,
2018-12-26,0.09,0.05,0.86,0.94
2018-12-27,0.04,0.02,0.94,0.68
2018-12-28,0.09,0.03,0.88,0.96
2018-12-29,,,,
2018-12-30,0.04,0.02,0.94,0.68
2018-12-31,0.08,0.06,0.86,0.82
2019-01-01,,,,
