user,fullname,tweet-id,timestamp,url,likes,replies,retweets,text,html
LeeseJohnstone,Leese Johnstone-Puplett,818608286102654976,2017-01-09 23:59:59,/LeeseJohnstone/status/818608286102654976,1,1,0,I think Trump is going to compile a database of all Twitter users who insulted him so he can go to their house & kick their dog or something,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">I think <strong>Trump</strong> is going to compile a database of all Twitter users who insulted him so he can go to their house &amp; kick their dog or something</p>"
glorob,Glorob,818608285536358400,2017-01-09 23:59:58,/glorob/status/818608285536358400,3,0,0,I wouldn't waste a thought on her. She sucks along with most celebrities that trash Mr. Trump. I will no longer pay a dime to see movies,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">I wouldn't waste a thought on her. She sucks along with most celebrities that trash Mr. <strong>Trump</strong>. I will no longer pay a dime to see movies</p>"
NosiBelieves,Nosi,818608285280567296,2017-01-09 23:59:58,/NosiBelieves/status/818608285280567296,2,0,0,coz even hollywood can point it out when they see shit #Trump,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">coz even hollywood can point it out when they see shit <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/Trump?src=hash""><s>#</s><b><strong>Trump</strong></b></a></p>"
adamgonzales17,adam j,818608285074931712,2017-01-09 23:59:58,/adamgonzales17/status/818608285074931712,0,0,0,@realDonaldTrump is this during the onset of his dementia?,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en""><a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""25073877"" dir=""ltr"" href=""/realDonaldTrump""><s>@</s><b><strong>realDonaldTrump</strong></b></a> is this during the onset of his dementia?</p>"
chiefmoe1994,chiefmoe1994,818608285024710661,2017-01-09 23:59:58,/chiefmoe1994/status/818608285024710661,0,0,0,@realDonaldTrump @KellyannePolls @netanyahu @FoxNews @ABC @CBSNews @nbcnews @MitchMcConell .@TuckerCarlsonhttps://twitter.com/chiefmoe1994/status/817788915675492352 …,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""4"" lang=""und""><a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""25073877"" dir=""ltr"" href=""/realDonaldTrump""><s>@</s><b><strong>realDonaldTrump</strong></b></a> <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""471672239"" dir=""ltr"" href=""/KellyannePolls""><s>@</s><b>KellyannePolls</b></a> <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""17061263"" dir=""ltr"" href=""/netanyahu""><s>@</s><b>netanyahu</b></a> <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""1367531"" dir=""ltr"" href=""/FoxNews""><s>@</s><b>FoxNews</b></a> <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""28785486"" dir=""ltr"" href=""/ABC""><s>@</s><b>ABC</b></a> <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""15012486"" dir=""ltr"" href=""/CBSNews""><s>@</s><b>CBSNews</b></a> <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""14173315"" dir=""ltr"" href=""/NBCNews""><s>@</s><b>nbcnews</b></a> <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""930806653"" dir=""ltr"" href=""/MitchMcConell""><s>@</s><b>MitchMcConell</b></a> .<a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""22703645"" dir=""ltr"" href=""/TuckerCarlson""><s>@</s><b>TuckerCarlson</b></a><a class=""twitter-timeline-link u-hidden"" data-expanded-url=""https://twitter.com/chiefmoe1994/status/817788915675492352"" dir=""ltr"" href=""https://t.co/U3Eq2kuOxW"" rel=""nofollow noopener"" target=""_blank"" title=""https://twitter.com/chiefmoe1994/status/817788915675492352""><span class=""tco-ellipsis""></span><span class=""invisible"">https://</span><span class=""js-display-url"">twitter.com/chiefmoe1994/s</span><span class=""invisible"">tatus/817788915675492352</span><span class=""tco-ellipsis""><span class=""invisible""> </span>…</span></a></p>"
jmendrews,Jaime Andrews,818608284982648832,2017-01-09 23:59:58,/jmendrews/status/818608284982648832,1,1,0,seems very unbiased. Still looks bad for @realDonaldTrump - facts have a liberal bias.,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">seems very unbiased. Still looks bad for <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""25073877"" dir=""ltr"" href=""/realDonaldTrump""><s>@</s><b><strong>realDonaldTrump</strong></b></a> - facts have a liberal bias.</p>"
WatchingMomo,MomoTV,818608284877881344,2017-01-09 23:59:58,/WatchingMomo/status/818608284877881344,0,0,0,Meryl Streep SLAMS Donald Trump at Golden Globes 2017 Speech! Holy SH*T!... https://youtu.be/2RwU1WaGiCY  via @YouTube,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Meryl Streep SLAMS Donald <strong>Trump</strong> at Golden Globes 2017 Speech! Holy SH*T!... <a class=""twitter-timeline-link"" data-expanded-url=""https://youtu.be/2RwU1WaGiCY"" dir=""ltr"" href=""https://t.co/PM5ii0HS7M"" rel=""nofollow noopener"" target=""_blank"" title=""https://youtu.be/2RwU1WaGiCY""><span class=""tco-ellipsis""></span><span class=""invisible"">https://</span><span class=""js-display-url"">youtu.be/2RwU1WaGiCY</span><span class=""invisible""></span><span class=""tco-ellipsis""><span class=""invisible""> </span></span></a> via <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""10228272"" dir=""ltr"" href=""/YouTube""><s>@</s><b>YouTube</b></a></p>"
jmmckay1,James Michael McKay,818608284387024896,2017-01-09 23:59:58,/jmmckay1/status/818608284387024896,76,6,34,Jenna Jameson was no fan of Meryl Streep's anti-Trump speech http://smar.ws/Z01PP  @jennajameson u made the news gurl! Too kewl u Rock!,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Jenna Jameson was no fan of Meryl Streep's anti-<strong>Trump</strong> speech <a class=""twitter-timeline-link"" data-expanded-url=""http://smar.ws/Z01PP"" dir=""ltr"" href=""https://t.co/xIm27pxhjs"" rel=""nofollow noopener"" target=""_blank"" title=""http://smar.ws/Z01PP""><span class=""tco-ellipsis""></span><span class=""invisible"">http://</span><span class=""js-display-url"">smar.ws/Z01PP</span><span class=""invisible""></span><span class=""tco-ellipsis""><span class=""invisible""> </span></span></a> <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""34900333"" dir=""ltr"" href=""/jennajameson""><s>@</s><b>jennajameson</b></a> u made the news gurl! Too kewl u Rock!</p>"
Peeledseal,Peeledseal,818608283061600256,2017-01-09 23:59:58,/Peeledseal/status/818608283061600256,1,0,0,why do you go on with this snowflake crap? Trump is the biggest snowflake ever cannot accept the slightest dig,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">why do you go on with this snowflake crap? <strong>Trump</strong> is the biggest snowflake ever cannot accept the slightest dig</p>"
CheckYourAgenda,A Real Moose,818608282982088704,2017-01-09 23:59:58,/CheckYourAgenda/status/818608282982088704,0,0,0,"If freedom means rejecting the will of voters in a fair election, you might need a dictionary.
@goldenglobes @realDonaldTrump","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">If freedom means rejecting the will of voters in a fair election, you might need a dictionary.
<a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""18667907"" dir=""ltr"" href=""/goldenglobes""><s>@</s><b>goldenglobes</b></a> <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""25073877"" dir=""ltr"" href=""/realDonaldTrump""><s>@</s><b><strong>realDonaldTrump</strong></b></a></p>"
TheAmerican22,American Resistance,818608282403217411,2017-01-09 23:59:58,/TheAmerican22/status/818608282403217411,0,0,0,"bubble above Reagan's head: ""Who's the used car salesman, mommy?""","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">bubble above Reagan's head: ""Who's the used car salesman, mommy?""</p>"
