,positive,negative,neutral,compound
2018-05-21,0.11,0.05,0.84,0.24
2018-05-22,0.09,0.09,0.83,-0.04
2018-05-23,0.09,0.06,0.84,0.17
2018-05-24,0.13,0.08,0.79,0.24
2018-05-25,0.15,0.08,0.77,0.2
2018-05-26,0.11,0.08,0.82,0.11
2018-05-27,0.1,0.09,0.81,0.02
2018-05-28,0.09,0.07,0.84,0.04
2018-05-29,0.12,0.05,0.83,0.31
2018-05-30,0.09,0.08,0.83,0.11
2018-05-31,0.06,0.11,0.83,-0.25
2018-06-01,0.11,0.04,0.85,0.25
2018-06-02,0.09,0.09,0.83,-0.04
2018-06-03,0.08,0.04,0.88,0.15
2018-06-04,0.15,0.07,0.79,0.21
2018-06-05,0.16,0.05,0.79,0.47
2018-06-06,0.12,0.04,0.84,0.33
2018-06-07,0.09,0.04,0.87,0.23
2018-06-08,0.11,0.06,0.83,0.2
2018-06-09,0.11,0.07,0.82,0.12
2018-06-10,0.08,0.05,0.87,0.13
2018-06-11,0.11,0.07,0.82,0.08
2018-06-12,0.1,0.05,0.85,0.21
2018-06-13,0.09,0.05,0.86,0.2
2018-06-14,0.1,0.03,0.87,0.35
2018-06-15,0.1,0.06,0.84,0.06
2018-06-16,0.16,0.07,0.77,0.32
2018-06-17,0.12,0.07,0.81,0.22
2018-06-18,0.07,0.04,0.89,0.09
2018-06-19,0.08,0.09,0.83,-0.06
2018-06-20,0.12,0.04,0.84,0.29
2018-06-21,0.1,0.03,0.88,0.29
2018-06-22,0.09,0.03,0.88,0.24
2018-06-23,0.05,0.03,0.92,0.05
2018-06-24,0.09,0.07,0.84,0.07
2018-06-25,0.08,0.08,0.84,0.02
2018-06-26,0.13,0.04,0.84,0.37
2018-06-27,0.11,0.06,0.83,0.2
2018-06-28,0.11,0.05,0.84,0.29
2018-06-29,0.17,0.05,0.78,0.38
2018-06-30,,,,
2018-07-01,0.09,0.08,0.82,0.07
2018-07-02,0.12,0.07,0.8,0.22
2018-07-03,0.12,0.06,0.81,0.17
2018-07-04,0.11,0.07,0.82,0.09
2018-07-05,0.1,0.07,0.83,0.04
2018-07-06,0.11,0.05,0.84,0.25
2018-07-07,0.11,0.05,0.83,0.15
2018-07-08,0.12,0.05,0.84,0.22
2018-07-09,0.12,0.07,0.82,0.19
2018-07-10,0.09,0.06,0.85,0.19
2018-07-11,0.14,0.06,0.8,0.28
2018-07-12,0.11,0.11,0.78,0.02
2018-07-13,0.12,0.04,0.83,0.31
2018-07-14,0.11,0.1,0.79,-0.05
2018-07-15,0.12,0.06,0.81,0.14
2018-07-16,0.1,0.11,0.79,0.01
2018-07-17,0.1,0.05,0.85,0.22
2018-07-18,0.1,0.05,0.86,0.23
2018-07-19,0.1,0.08,0.81,0.05
2018-07-20,0.11,0.05,0.84,0.14
2018-07-21,0.14,0.07,0.79,0.26
2018-07-22,0.12,0.06,0.83,0.33
2018-07-23,0.09,0.08,0.83,0.02
2018-07-24,0.05,0.06,0.89,-0.06
2018-07-25,0.08,0.04,0.88,0.19
2018-07-26,0.07,0.11,0.82,-0.1
2018-07-27,0.09,0.03,0.87,0.26
2018-07-28,0.09,0.07,0.84,0.13
2018-07-29,0.11,0.06,0.83,0.16
2018-07-30,0.1,0.09,0.81,0.1
2018-07-31,0.09,0.12,0.79,-0.02
2018-08-01,0.12,0.04,0.83,0.32
2018-08-02,0.1,0.04,0.86,0.25
2018-08-03,0.15,0.03,0.81,0.46
2018-08-04,0.08,0.02,0.89,0.23
2018-08-05,0.12,0.07,0.81,0.15
2018-08-06,0.19,0.03,0.78,0.51
2018-08-07,0.12,0.07,0.81,0.17
2018-08-08,0.1,0.04,0.86,0.18
2018-08-09,0.19,0.0,0.8,0.71
2018-08-10,0.11,0.05,0.84,0.24
2018-08-11,0.15,0.03,0.82,0.41
2018-08-12,0.11,0.07,0.82,0.13
2018-08-13,0.09,0.09,0.83,-0.01
2018-08-14,0.09,0.08,0.84,-0.0
2018-08-15,0.09,0.05,0.85,0.1
2018-08-16,0.1,0.05,0.85,0.22
2018-08-17,0.09,0.06,0.85,0.11
2018-08-18,0.09,0.06,0.85,0.11
2018-08-19,0.11,0.03,0.85,0.29
2018-08-20,0.12,0.05,0.83,0.3
2018-08-21,0.08,0.07,0.85,0.01
2018-08-22,0.11,0.04,0.84,0.38
2018-08-23,0.11,0.07,0.82,0.17
2018-08-24,0.1,0.08,0.82,0.14
2018-08-25,0.05,0.01,0.94,0.12
2018-08-26,0.08,0.04,0.88,0.15
2018-08-27,0.08,0.08,0.84,-0.02
2018-08-28,0.15,0.06,0.79,0.28
2018-08-29,0.1,0.05,0.85,0.17
2018-08-30,,,,
2018-08-31,,,,
2018-09-01,0.07,0.09,0.84,-0.05
2018-09-02,0.11,0.04,0.85,0.27
2018-09-03,0.11,0.06,0.83,0.24
2018-09-04,0.13,0.1,0.77,0.2
2018-09-05,0.13,0.08,0.8,0.24
2018-09-06,0.16,0.05,0.79,0.4
2018-09-07,0.1,0.07,0.82,0.12
2018-09-08,0.08,0.03,0.89,0.16
2018-09-09,0.13,0.01,0.86,0.52
2018-09-10,0.1,0.05,0.85,0.18
2018-09-11,0.05,0.09,0.85,-0.17
2018-09-12,0.11,0.05,0.84,0.31
2018-09-13,0.08,0.05,0.87,0.17
2018-09-14,0.15,0.05,0.8,0.3
2018-09-15,0.09,0.05,0.87,0.12
2018-09-16,0.07,0.03,0.9,0.1
2018-09-17,0.08,0.03,0.89,0.16
2018-09-18,0.09,0.04,0.87,0.25
2018-09-19,0.06,0.05,0.89,0.05
2018-09-20,0.15,0.06,0.8,0.26
2018-09-21,0.11,0.06,0.83,0.14
2018-09-22,0.14,0.07,0.8,0.33
2018-09-23,0.08,0.07,0.85,0.05
2018-09-24,0.11,0.05,0.83,0.22
2018-09-25,0.12,0.04,0.84,0.23
2018-09-26,0.1,0.09,0.82,0.06
2018-09-27,0.15,0.04,0.81,0.41
2018-09-28,0.11,0.06,0.83,0.23
2018-09-29,0.12,0.04,0.84,0.29
2018-09-30,0.09,0.04,0.87,0.25
2018-10-01,0.1,0.05,0.85,0.21
2018-10-02,0.08,0.07,0.85,0.08
2018-10-03,0.1,0.05,0.85,0.22
2018-10-04,0.11,0.06,0.83,0.21
2018-10-05,0.14,0.04,0.83,0.36
