,positive,negative,neutral,compound
2018-04-19,0.06,0.02,0.92,0.95
2018-04-20,,,,
2018-04-21,,,,
2018-04-22,,,,
2018-04-23,0.08,0.08,0.84,0.29
2018-04-24,,,,
2018-04-25,0.09,0.01,0.9,0.93
2018-04-26,,,,
2018-04-27,0.1,0.02,0.88,0.9
2018-04-28,,,,
2018-04-29,,,,
2018-04-30,0.09,0.0,0.91,0.94
2018-05-01,0.1,0.03,0.88,0.82
2018-05-02,0.08,0.04,0.88,0.76
2018-05-03,0.09,0.06,0.86,0.59
2018-05-04,0.14,0.02,0.85,0.98
2018-05-05,,,,
2018-05-06,0.04,0.02,0.94,0.53
2018-05-07,0.1,0.05,0.84,0.97
2018-05-08,,,,
2018-05-09,,,,
2018-05-10,0.11,0.02,0.88,0.95
2018-05-11,0.11,0.03,0.86,0.98
2018-05-12,,,,
2018-05-13,,,,
2018-05-14,,,,
2018-05-15,0.13,0.02,0.85,0.96
2018-05-16,0.11,0.02,0.86,0.96
2018-05-17,0.07,0.03,0.9,0.71
2018-05-18,0.07,0.02,0.91,0.9
2018-05-19,0.07,0.04,0.89,0.27
2018-05-20,,,,
2018-05-21,0.07,0.03,0.91,0.63
2018-05-22,0.1,0.04,0.86,0.59
2018-05-23,0.08,0.03,0.89,0.85
2018-05-24,0.06,0.02,0.92,0.75
2018-05-25,,,,
2018-05-26,,,,
2018-05-27,,,,
2018-05-28,,,,
2018-05-29,0.05,0.04,0.91,0.48
2018-05-30,0.1,0.0,0.9,0.97
2018-05-31,,,,
2018-06-01,,,,
2018-06-02,0.02,0.01,0.97,0.31
2018-06-03,0.11,0.06,0.83,0.92
2018-06-04,0.12,0.05,0.83,0.93
2018-06-05,,,,
2018-06-06,,,,
2018-06-07,0.08,0.05,0.86,0.34
2018-06-08,,,,
2018-06-09,0.09,0.02,0.88,0.89
2018-06-10,,,,
2018-06-11,,,,
2018-06-12,0.09,0.02,0.89,0.96
2018-06-13,0.13,0.03,0.84,0.97
2018-06-14,0.09,0.04,0.88,0.39
2018-06-15,,,,
2018-06-16,,,,
2018-06-17,,,,
2018-06-18,0.07,0.03,0.9,0.7
2018-06-19,0.1,0.0,0.9,0.96
2018-06-20,0.06,0.01,0.93,0.98
2018-06-21,0.09,0.03,0.88,0.91
2018-06-22,0.08,0.04,0.89,0.96
2018-06-23,,,,
2018-06-24,,,,
2018-06-25,0.06,0.04,0.9,0.57
2018-06-26,0.09,0.05,0.87,0.94
2018-06-27,0.04,0.01,0.95,0.54
2018-06-28,0.1,0.01,0.89,0.96
2018-06-29,0.07,0.02,0.91,0.54
2018-06-30,0.06,0.05,0.89,0.29
2018-07-01,,,,
2018-07-02,0.04,0.09,0.87,-0.98
2018-07-03,0.06,0.0,0.93,0.81
2018-07-04,,,,
2018-07-05,0.05,0.04,0.91,0.67
2018-07-06,,,,
2018-07-07,,,,
2018-07-08,0.09,0.0,0.91,0.96
2018-07-09,0.08,0.0,0.92,0.88
2018-07-10,,,,
2018-07-11,,,,
2018-07-12,0.13,0.02,0.84,0.98
2018-07-13,,,,
2018-07-14,,,,
2018-07-15,,,,
2018-07-16,0.07,0.01,0.92,0.99
2018-07-17,0.07,0.02,0.91,0.68
2018-07-18,,,,
2018-07-19,0.1,0.01,0.89,0.95
2018-07-20,0.04,0.03,0.93,0.52
2018-07-21,,,,
2018-07-22,,,,
2018-07-23,,,,
2018-07-24,,,,
2018-07-25,,,,
2018-07-26,,,,
2018-07-27,0.06,0.02,0.92,0.74
2018-07-28,,,,
2018-07-29,,,,
2018-07-30,0.04,0.05,0.91,-0.48
2018-07-31,0.04,0.05,0.91,-0.48
