user,fullname,tweet-id,timestamp,url,likes,replies,retweets,text,html
ganti_rao,Ganti M S Rao,1074689279824035840,2018-12-17 15:34:25,/ganti_rao/status/1074689279824035840,0,0,0,"@Tata Steel Ltd 
@dasraghubar
@nitin_gadkari
Unfortunately, no roads map, vision to accommodate ex-Tata group employee low budget shelter made Tata Steel products  in Jharkhand or within 50kms radius to Jamshedpur. https://twitter.com/TataSteelLtd/status/1074649721287925761 …","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""4"" lang=""en""><a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""247442896"" dir=""ltr"" href=""/tata""><s>@</s><b><strong>Tata</strong></b></a> <strong>Steel</strong> Ltd 
<a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""3123339037"" dir=""ltr"" href=""/dasraghubar""><s>@</s><b>dasraghubar</b></a>
<a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""97217966"" dir=""ltr"" href=""/nitin_gadkari""><s>@</s><b>nitin_gadkari</b></a>
Unfortunately, no roads map, vision to accommodate ex-Tata group employee low budget shelter made <strong>Tata Steel</strong> products  in Jharkhand <strong>or</strong> within 50kms radius to Jamshedpur. <a class=""twitter-timeline-link u-hidden"" data-expanded-url=""https://twitter.com/TataSteelLtd/status/1074649721287925761"" dir=""ltr"" href=""https://t.co/GPNODVqIbJ"" rel=""nofollow noopener"" target=""_blank"" title=""https://twitter.com/TataSteelLtd/status/1074649721287925761""><span class=""tco-ellipsis""></span><span class=""invisible"">https://</span><span class=""js-display-url"">twitter.com/TataSteelLtd/s</span><span class=""invisible"">tatus/1074649721287925761</span><span class=""tco-ellipsis""><span class=""invisible""> </span>…</span></a></p>"
Ravinousmind,Ravi Rawal,1074646719521046529,2018-12-17 12:45:18,/Ravinousmind/status/1074646719521046529,0,0,0,"@MumbaiPolice Thanks for keeping our city safe.Just f/back. Why freq.nakabandis at Dattapada Road, Borivali E & near TATA steel flyover, near TOI F/ovr n/b on W exp highway & that too only for 2 wheelers. In a week, riders are stopped by twice or thrice. Pls look into it.","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en""><a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""4573405572"" dir=""ltr"" href=""/MumbaiPolice""><s>@</s><b>MumbaiPolice</b></a> Thanks for keeping our city safe.Just f/back. Why freq.nakabandis at Dattapada Road, Borivali E &amp; near <strong>TATA steel</strong> flyover, near TOI F/ovr n/b on W exp highway &amp; that too only for 2 wheelers. In a week, riders are stopped by twice <strong>or</strong> thrice. Pls look into it.</p>"
koushik_tweetin,koushik T. Narayanan,1074263653984043009,2018-12-16 11:23:08,/koushik_tweetin/status/1074263653984043009,1,0,0,Tata steel but only aftr a confirmation green candle with no or less tail.,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en""><strong>Tata steel</strong> but only aftr a confirmation green candle with no <strong>or</strong> less tail.</p>"
mcapitalheight,Money CapitalHeight,1072818098426781697,2018-12-12 11:39:01,/mcapitalheight/status/1072818098426781697,0,0,0,"#Metal shares jump; # JSPL, #Tata #Steel among top gainers, For #Expert #Advice or 2 Days Free Trial Click here: https://capitalheight.com/freetrial.php  or Give a Missed call on 8306308308 pic.twitter.com/p45yyX1wgc","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en""><a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/Metal?src=hash""><s>#</s><b>Metal</b></a> shares jump; # JSPL, <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/Tata?src=hash""><s>#</s><b><strong>Tata</strong></b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/Steel?src=hash""><s>#</s><b><strong>Steel</strong></b></a> among top gainers, For <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/Expert?src=hash""><s>#</s><b>Expert</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/Advice?src=hash""><s>#</s><b>Advice</b></a> <strong>or</strong> 2 Days Free Trial Click here: <a class=""twitter-timeline-link"" data-expanded-url=""https://capitalheight.com/freetrial.php"" dir=""ltr"" href=""https://t.co/UalQpkabQ2"" rel=""nofollow noopener"" target=""_blank"" title=""https://capitalheight.com/freetrial.php""><span class=""tco-ellipsis""></span><span class=""invisible"">https://</span><span class=""js-display-url"">capitalheight.com/freetrial.php</span><span class=""invisible""></span><span class=""tco-ellipsis""><span class=""invisible""> </span></span></a> <strong>or</strong> Give a Missed call on 8306308308 <a class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"" href=""https://t.co/p45yyX1wgc"">pic.twitter.com/p45yyX1wgc</a></p>"
Raminations,Sriram,1076866987299487744,2018-12-23 15:47:51,/Raminations/status/1076866987299487744,2,0,0,In the original list. Steel or Ordinary was Tata Steel and Hindustan Motors was Motor,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">In the original list. <strong>Steel</strong> <strong>or</strong> Ordinary was <strong>Tata Steel</strong> and Hindustan Motors was Motor</p>"
VinitMathur10,Vinit Mathur,1076178301591437313,2018-12-21 18:11:16,/VinitMathur10/status/1076178301591437313,0,1,0,This idea is not new. Local clinics or dispensaries have been in existence in Jamshedpur for a large number of years. These were set up by Tata Steel to provide medical facilities to people close to their residence and also to reduce load on the Tata Main Hospital(TMH).,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">This idea is not new. Local clinics <strong>or</strong> dispensaries have been in existence in Jamshedpur for a large number of years. These were set up by <strong>Tata Steel</strong> to provide medical facilities to people close to their residence and also to reduce load on the <strong>Tata</strong> Main Hospital(TMH).</p>"
LittleAndLarge3,LittleAndLarge,1076058872241160192,2018-12-21 10:16:42,/LittleAndLarge3/status/1076058872241160192,5,0,6,Cardiff RFC travel to Tata Steel on Sat 5th January in the first round of the cup. There are a few places left on the supporters trip. £10 pp. Message me if your interested or see me in the club tomorrow or New year's day.,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Cardiff RFC travel to <strong>Tata Steel</strong> on Sat 5th January in the first round of the cup. There are a few places left on the supporters trip. £10 pp. Message me if your interested <strong>or</strong> see me in the club tomorrow <strong>or</strong> New year's day.</p>"
diganta_sircar,Diganta Sircar,1075723396229427200,2018-12-20 12:03:38,/diganta_sircar/status/1075723396229427200,0,0,0,"Disappointed that ProCam Slam is only meant for people who can run 42 http://kms.it  would have been very motivating to people who can achieve time target of TCSWorld 10 K, 21 Kms ADHM 2018, 25 Km Tata Steel Kolkatta and the last to be kept as an option with 21 Kms or 42","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Disappointed that ProCam Slam is only meant for people who can run 42 <a class=""twitter-timeline-link"" data-expanded-url=""http://kms.it"" dir=""ltr"" href=""https://t.co/qla462TyTa"" rel=""nofollow noopener"" target=""_blank"" title=""http://kms.it""><span class=""tco-ellipsis""></span><span class=""invisible"">http://</span><span class=""js-display-url"">kms.it</span><span class=""invisible""></span><span class=""tco-ellipsis""><span class=""invisible""> </span></span></a> would have been very motivating to people who can achieve time target of TCSWorld 10 K, 21 Kms ADHM 2018, 25 Km <strong>Tata Steel</strong> Kolkatta and the last to be kept as an option with 21 Kms <strong>or</strong> 42</p>"
COMMODITYTIPSCH,Riya Bajaj,1074994873550307328,2018-12-18 11:48:44,/COMMODITYTIPSCH/status/1074994873550307328,1,0,0,"#MACD shows Tata Steel, #SAIL, Idea among 121 stocks up for free Trial Click here: https://capitalheight.com/freetrial.php  or Give a Missed call on 8306308308 pic.twitter.com/3ygD1YiCnK","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en""><a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/MACD?src=hash""><s>#</s><b>MACD</b></a> shows <strong>Tata Steel</strong>, <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/SAIL?src=hash""><s>#</s><b>SAIL</b></a>, Idea among 121 stocks up for free Trial Click here: <a class=""twitter-timeline-link"" data-expanded-url=""https://capitalheight.com/freetrial.php"" dir=""ltr"" href=""https://t.co/7krVxgt1W1"" rel=""nofollow noopener"" target=""_blank"" title=""https://capitalheight.com/freetrial.php""><span class=""tco-ellipsis""></span><span class=""invisible"">https://</span><span class=""js-display-url"">capitalheight.com/freetrial.php</span><span class=""invisible""></span><span class=""tco-ellipsis""><span class=""invisible""> </span></span></a> <strong>or</strong> Give a Missed call on 8306308308 <a class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"" href=""https://t.co/3ygD1YiCnK"">pic.twitter.com/3ygD1YiCnK</a></p>"
mcapitalheight,Money CapitalHeight,1074980846241701896,2018-12-18 10:53:00,/mcapitalheight/status/1074980846241701896,0,0,0,"#MACD shows Tata Steel, #SAIL, Idea among 121 stocks up for free Trial Click here: https://capitalheight.com/freetrial.php  or Give a Missed call on 8306308308 pic.twitter.com/ZooN46LRJn","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en""><a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/MACD?src=hash""><s>#</s><b>MACD</b></a> shows <strong>Tata Steel</strong>, <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/SAIL?src=hash""><s>#</s><b>SAIL</b></a>, Idea among 121 stocks up for free Trial Click here: <a class=""twitter-timeline-link"" data-expanded-url=""https://capitalheight.com/freetrial.php"" dir=""ltr"" href=""https://t.co/UalQpkrMHA"" rel=""nofollow noopener"" target=""_blank"" title=""https://capitalheight.com/freetrial.php""><span class=""tco-ellipsis""></span><span class=""invisible"">https://</span><span class=""js-display-url"">capitalheight.com/freetrial.php</span><span class=""invisible""></span><span class=""tco-ellipsis""><span class=""invisible""> </span></span></a> <strong>or</strong> Give a Missed call on 8306308308 <a class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"" href=""https://t.co/ZooN46LRJn"">pic.twitter.com/ZooN46LRJn</a></p>"
