user,fullname,tweet-id,timestamp,url,likes,replies,retweets,text,html
alumninitjsr,Alumni NIT JSR,986311348987531269,2018-04-17 18:32:05,/alumninitjsr/status/986311348987531269,0,0,0,"Hello Alumni.
Greetings from Alumni Team, NIT Jamshedpur.
Any alumnus in TATA STEEL, TATA MOTORS, TATA CUMMINS or any other TATA GROUPS in jamshedpur, please help 6th semester students of NIT... https://www.facebook.com/story.php?story_fbid=2103746242972846&id=758206274193523 …","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Hello Alumni.
Greetings from Alumni Team, NIT Jamshedpur.
Any alumnus in <strong>TATA STEEL</strong>, <strong>TATA</strong> MOTORS, <strong>TATA</strong> CUMMINS <strong>or</strong> any other <strong>TATA</strong> GROUPS in jamshedpur, please help 6th semester students of NIT... <a class=""twitter-timeline-link"" data-expanded-url=""https://www.facebook.com/story.php?story_fbid=2103746242972846&amp;id=758206274193523"" dir=""ltr"" href=""https://t.co/rWcBHGwy7v"" rel=""nofollow noopener"" target=""_blank"" title=""https://www.facebook.com/story.php?story_fbid=2103746242972846&amp;id=758206274193523""><span class=""tco-ellipsis""></span><span class=""invisible"">https://www.</span><span class=""js-display-url"">facebook.com/story.php?stor</span><span class=""invisible"">y_fbid=2103746242972846&amp;id=758206274193523</span><span class=""tco-ellipsis""><span class=""invisible""> </span>…</span></a></p>"
Mufadda84837392,Mufaddal,986163115703308288,2018-04-17 08:43:03,/Mufadda84837392/status/986163115703308288,0,0,0,Sir plz update on tata steel I have on 604 levels should sell or wait,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Sir plz update on <strong>tata steel</strong> I have on 604 levels should sell <strong>or</strong> wait</p>"
Dwarf_The_II,Swimming Dwarf II,984707240824328192,2018-04-13 08:17:55,/Dwarf_The_II/status/984707240824328192,0,0,0,"1. No reports on multilateral action with #EU and #British support. #Tata steel was hit hard a couple of years ago; you would find willing allies.
2.WTO route not explored or what?
3.What about the Chinese copycat cars? #BYD
4.COD :MW4-Trade Wars #Confirmed @Activisionhttps://twitter.com/marcorubio/status/984588686946897925 …","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""4"" lang=""en"">1. No reports on multilateral action with <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/EU?src=hash""><s>#</s><b>EU</b></a> and <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/British?src=hash""><s>#</s><b>British</b></a> support. <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/Tata?src=hash""><s>#</s><b><strong>Tata</strong></b></a> <strong>steel</strong> was hit hard a couple of years ago; you would find willing allies.
2.WTO route not explored <strong>or</strong> what?
3.What about the Chinese copycat cars? <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/BYD?src=hash""><s>#</s><b>BYD</b></a>
4.COD :MW4-Trade Wars <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/Confirmed?src=hash""><s>#</s><b>Confirmed</b></a> <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""612782611"" dir=""ltr"" href=""/Activision""><s>@</s><b>Activision</b></a><a class=""twitter-timeline-link u-hidden"" data-expanded-url=""https://twitter.com/marcorubio/status/984588686946897925"" dir=""ltr"" href=""https://t.co/D3RuWXqJ0a"" rel=""nofollow noopener"" target=""_blank"" title=""https://twitter.com/marcorubio/status/984588686946897925""><span class=""tco-ellipsis""></span><span class=""invisible"">https://</span><span class=""js-display-url"">twitter.com/marcorubio/sta</span><span class=""invisible"">tus/984588686946897925</span><span class=""tco-ellipsis""><span class=""invisible""> </span>…</span></a></p>"
abhijit_bajare,Abhijit Bajare,975188720415514625,2018-03-18 01:54:43,/abhijit_bajare/status/975188720415514625,0,0,0,@nitinbhatia121 sir may I hold or exit from Tata steel it's already down from 793 to 600 holding @ 495 . Please suggest your view,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en""><a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""521524062"" dir=""ltr"" href=""/nitinbhatia121""><s>@</s><b>nitinbhatia121</b></a> sir may I hold <strong>or</strong> exit from <strong>Tata steel</strong> it's already down from 793 to 600 holding @ 495 . Please suggest your view</p>"
Cadzo10,Rich Caddy,974001036154241029,2018-03-14 19:15:17,/Cadzo10/status/974001036154241029,0,2,0,My gut feeling is that a lot of advisers have been backed into a corner. The FCA will only consider a like for like transfer when carrying out assessments. Instead of the current situation or potential future modifications by Tata steel.,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">My gut feeling is that a lot of advisers have been backed into a corner. The FCA will only consider a like for like transfer when carrying out assessments. Instead of the current situation <strong>or</strong> potential future modifications by <strong>Tata steel</strong>.</p>"
muralikumarje,Markets Today,973792416053460994,2018-03-14 05:26:18,/muralikumarje/status/973792416053460994,0,0,0,Sir Tata steel trading green... Long or short advisable?,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Sir <strong>Tata steel</strong> trading green... Long <strong>or</strong> short advisable?</p>"
MorganLeahy,Morgan Leahy,973594375212199942,2018-03-13 16:19:22,/MorganLeahy/status/973594375212199942,0,0,0,"Note Indian owned steel plants in U.K. Export £400m to US. That now £500m
Bad timing that Macron in India to offer solutions and access to #EU
Good option for Renault owned Nissan and Peugeot owned Vauxhall though. And Tata steel own Land Rover.
Or Le Land Rover ??","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Note Indian owned <strong>steel</strong> plants in U.K. Export £400m to US. That now £500m
Bad timing that Macron in India to offer solutions and access to <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/EU?src=hash""><s>#</s><b>EU</b></a>
Good option for Renault owned Nissan and Peugeot owned Vauxhall though. And <strong>Tata steel</strong> own Land Rover.
<strong>Or</strong> Le Land Rover ??</p>"
rohanm6661,CS Rohan Mota,973561553084604416,2018-03-13 14:08:56,/rohanm6661/status/973561553084604416,0,1,0,Tht is not only to banks or nbfcs but all large corporates tata steel hdfc etc,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Tht is not only to banks <strong>or</strong> nbfcs but all large corporates <strong>tata steel</strong> hdfc etc</p>"
Clwyd_Jobs_UK,Clwyd Jobs,972422079709560832,2018-03-10 10:41:05,/Clwyd_Jobs_UK/status/972422079709560832,0,0,0,"#ClwydJobs #Clwyd #Jobs Fabricator / Welder, Deeside: We are looking to fill position of Fabricator / Welder or a Major Client (Tata Steel) at the Shotton Plant. Job Title: Engineering Fabricator / Welder… http://dlvr.it/QKTJCF  For More Jobs >>> Please Go2 Our Page!","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en""><a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/ClwydJobs?src=hash""><s>#</s><b>ClwydJobs</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/Clwyd?src=hash""><s>#</s><b>Clwyd</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/Jobs?src=hash""><s>#</s><b>Jobs</b></a> Fabricator / Welder, Deeside: We are looking to fill position of Fabricator / Welder <strong>or</strong> a Major Client (<strong>Tata Steel</strong>) at the Shotton Plant. Job Title: Engineering Fabricator / Welder… <a class=""twitter-timeline-link"" data-expanded-url=""http://dlvr.it/QKTJCF"" dir=""ltr"" href=""https://t.co/FSNH8oTsHf"" rel=""nofollow noopener"" target=""_blank"" title=""http://dlvr.it/QKTJCF""><span class=""tco-ellipsis""></span><span class=""invisible"">http://</span><span class=""js-display-url"">dlvr.it/QKTJCF</span><span class=""invisible""></span><span class=""tco-ellipsis""><span class=""invisible""> </span></span></a> For More Jobs &gt;&gt;&gt; Please Go2 Our Page!</p>"
kndgrc,#KNDfrintegrity,972402540598902784,2018-03-10 09:23:26,/kndgrc/status/972402540598902784,0,0,0,"@dasraghubar Sir, This needs your kind attention. We are now democratic India, but in such ambiance it is the same or worse than of before freedom. You are from our Tata steel so you know the value of such kind of teachers having pathetic time. I am aSr Citizen ur ex friend pic.twitter.com/Dow7ZfF5Rp","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en""><a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""3123339037"" dir=""ltr"" href=""/dasraghubar""><s>@</s><b>dasraghubar</b></a> Sir, This needs your kind attention. We are now democratic India, but in such ambiance it is the same <strong>or</strong> worse than of before freedom. You are from our <strong>Tata steel</strong> so you know the value of such kind of teachers having pathetic time. I am aSr Citizen ur ex friend <a class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"" href=""https://t.co/Dow7ZfF5Rp"">pic.twitter.com/Dow7ZfF5Rp</a></p>"
